id,name,type,location,address,tel,business_area,gcj_x,gcj_y,wgs_x,wgs_y
B0I6VH75L6,云快充汽车充电站(湖南省特教中等专业学校)(不对外开放),汽车服务;充电站;专用充电站,"112.976626,28.024393",天心大道辅路与暮南路交叉口西240米,[],[],112.976626,28.024393,112.97110151529685,28.02781233613384
B0L30CKWZV,三一挖机专卖,汽车服务;汽车服务相关;汽车服务相关,"112.981480,28.011738",南托街道天心大道旁65-1号,[],[],112.98148,28.011738,112.97594005599863,28.015142134144796
B0K3Y7K5BY,壹佳车饰,汽车服务;汽车养护/装饰;汽车养护,"112.982505,28.014663",鑫天·山城明珠西南门西北50米,[],[],112.982505,28.014663,112.97696127972837,28.018064711729075
B0FFJRSJ7T,普利司通轮胎(中意二路店),汽车服务;汽车配件销售;汽车配件销售,"112.982034,28.015325",中意二路849号,15700733356,[],112.982034,28.015325,112.97649185848859,28.018728132799847
B0LA3OG5CW,美美汽配暮云仓,汽车服务;汽车配件销售;汽车配件销售,"112.980361,28.022345",南托商贸二区5栋40号,[],[],112.980361,28.022345,112.97482405773144,28.0257538445659
B0FFI7MECJ,诚友堂汽车服务,汽车服务;汽车养护/装饰;汽车养护|汽车服务;洗车场;洗车场|汽车维修;汽车维修;汽车维修,"112.979633,28.022860",天心大道辅路与暮南路交叉口南180米,15874243998,[],112.979633,28.02286,112.97409850250519,28.02627093004947
B0FFHYDRLL,邓禄普轮胎(南湖大道店),汽车服务;汽车配件销售;汽车配件销售,"112.979580,28.023576",中意二路689号,15111218783,[],112.97958,28.023576,112.97404562618918,28.026987182277466
B0FFMEXC68,车多多汽车美容店,汽车服务;汽车服务相关;汽车服务相关,"112.980768,28.021182",创业路与诚信路交叉口西220米,[],[],112.980768,28.021182,112.97522975521143,28.024589543327043
B0K0VCJ3XK,凡芙美汽车服务中心,汽车服务;汽车养护/装饰;汽车养护,"112.980501,28.021094",南托街道北塘社区中意二路733号,18890018268,[],112.980501,28.021094,112.97496367763307,28.024502270355878
B0KURP5CXF,小桔充电汽车充电站(长沙市天心区南托街道办充电站),汽车服务;充电站;充电站,"112.981476,28.021364",南托街道办事处,4000610999,[],112.981476,28.021364,112.97593530574045,28.02476960100156
B0LUF13PAD,嘉和智租,汽车服务;汽车租赁;汽车租赁,"112.980642,28.024037",北塘路与暮南路交叉口南60米,[],[],112.980642,28.024037,112.9751039608226,28.027445317790672
B0JA3LQFCQ,蔚景云汽车充电站(昆仑和府慢充),汽车服务;充电站;充电站,"112.977890,28.027035",南托街道城市华府酒店长沙生态动物园暮云店大堂昆仑和府,4006803880,[],112.97789,28.027035,112.97236107254778,28.03045131216233
B0K3SYF51C,蔚景云汽车充电站(昆仑和府慢充),汽车服务;充电站;充电站,"112.977893,28.027035",南托街道城市华府酒店长沙生态动物园暮云店大堂昆仑和府,13548653189,[],112.977893,28.027035,112.97236406245317,28.030451304017618
B0LDTX88XW,朝阳轮胎,汽车服务;汽车配件销售;汽车配件销售,"112.984625,28.009725",天心大道与南四线交叉口西北360米,[],[],112.984625,28.009725,112.97907427421158,28.01311996329648
B0JASP7UVM,达克云汽车充电站(晟威公司水电八局南托基地充电站),汽车服务;充电站;充电站,"112.985916,28.012554",南托街道静园路中国水电八局,4006717555,[],112.985916,28.012554,112.98036050265,28.015945709388124
B0KUJB7GEA,小桔充电汽车充电站(闪联超级充电站天心大道),汽车服务;充电站;充电站,"112.984180,28.010555",南托街道天心大道,4000610999,[],112.98418,28.010555,112.97863076833352,28.01395135541842
B02DB0TUSL,石化服务中心暮云晨丰加油站,汽车服务;加油站;加油站,"112.983298,28.010884",暮云镇中国水利水电第八工程局中心医院西南,0731-86948668,[],112.983298,28.010884,112.9777518230164,28.014282902247604
B0FFGTHU6H,园意汽车养护中心,汽车服务;汽车养护/装饰;汽车养护,"112.983117,28.012586",中意二路895号,0731-85472859,[],112.983117,28.012586,112.97757131819752,28.015985673309203
B0KU9GL7WE,小桔充电汽车充电站(长沙交投天心区回龙铺充电站),汽车服务;充电站;充电站,"112.983406,28.011293",南托街道天心大道中粤晨丰加油站北侧,4000610999,[],112.983406,28.011293,112.97785941411213,28.014691659998444
B0KR1GNM4G,为盛新能源车服(新合丰直营店),汽车服务;汽车养护/装饰;汽车养护|汽车销售;汽车销售;汽车销售|汽车维修;汽车维修;汽车维修,"112.987101,28.017203",新三盛,19911533506,[],112.987101,28.017203,112.98154093345093,28.020592007426846
B0KAN7V2NN,中保惠拍湖南库,汽车服务;汽车服务相关;汽车服务相关,"112.987075,28.018775",库迪咖啡(湖南科技职院北院店)南侧280米,[],[],112.987075,28.018775,112.98151490078804,28.022164319330653
B0KK043WTZ,小桔充电汽车充电站(天心数谷一期智慧停车场项目),汽车服务;充电站;充电站,"112.985466,28.023787",南托街道南托路天心数谷一期(建设中),4000610999,[],112.985466,28.023787,112.97991119787463,28.027181689573865
B0J0M5144F,华自充电汽车充电站(电子商务产业园站),汽车服务;充电站;充电站,"112.983510,28.021620",南二线电子商务产业园停车场,15073102200,[],112.98351,28.02162,112.97796223107107,28.02501992826437
B0LAL7PE9G,仙人掌无水自助洗车(电子商务产业园店),汽车服务;洗车场;洗车场,"112.983510,28.021620",华自充电站休息室后面市场路125号,[],[],112.98351,28.02162,112.97796223107107,28.02501992826437
B0IKTHDHL4,车颜知己天心区电子商务产业园站,汽车服务;洗车场;洗车场,"112.983268,28.021423",创业路159号,0731-86906008,[],112.983268,28.021423,112.97772109044706,28.024823582295355
B0IGUMUKVO,国家电网汽车充电站(长沙市暮云),汽车服务;充电站;充电站,"112.983128,28.025149",南湖大道102号地面停车场,96969,[],112.983128,28.025149,112.97758128200502,28.02855053083842
B0LBT56FVP,名车港汽车服务中心,汽车服务;汽车服务相关;汽车服务相关,"112.991596,27.997191",暮云街道中意三路186号,[],[],112.991596,27.997191,112.98602139829102,28.00056380562276
B0H2KK7RZQ,辉煌轮胎,汽车服务;汽车配件销售;汽车配件销售,"112.992125,27.996045",中石化对面,[],[],112.992125,27.996045,112.98654857338383,27.999416065180828
