name,location,address,tel,type,typecode,business_area,cityname,adname,pname,shopinfo,longitude,latitude
龙大婶饽饽铺,"116.411802,39.903229",台基厂大街16号,010-65129770,餐饮服务;糕饼店;糕饼店,050800,,北京市,东城区,北京市,0,116.411802,39.903229
紫光园(崇文门店),"116.412843,39.899486",东打磨厂7号宝鼎中心B座一层,19953405072,餐饮服务;中餐厅;清真菜馆,050121,,北京市,东城区,北京市,0,116.412843,39.899486
尹三豆汁(王府井喜悦店),"116.410208,39.909568",王府井大街301号王府井喜悦B1层,17313516569;19950501915,餐饮服务;冷饮店;冷饮店|餐饮服务;中餐厅;中餐厅,050700|050100,东单,北京市,东城区,北京市,0,116.410208,39.909568
温鼎府·海鲜火锅(前门23号院店),"116.401055,39.901156",前门东大街前门23号院内(正阳门东10米),010-65270128,餐饮服务;中餐厅;火锅店,050117,,北京市,东城区,北京市,0,116.401055,39.901156
方砖厂69号炸酱面(王府井喜悦店),"116.410559,39.909841",王府井喜悦购物中心负一层102内P012号,19520101523,餐饮服务;中餐厅;中餐厅,050100,东单,北京市,东城区,北京市,0,116.410559,39.909841
潮府林苑·潮州菜(故宫店),"116.404869,39.909245",北库司胡同1号(天安门东地铁站B东北口步行340米),18518355380,餐饮服务;餐饮相关场所;餐饮相关,050000,王府井,北京市,东城区,北京市,0,116.404869,39.909245
大董(王府井喜悦购物中心店),"116.410662,39.909977",王府井大街301号喜悦购物中心5层,010-65288802;010-65288803,餐饮服务;中餐厅;特色/地方风味餐厅,050118,东单,北京市,东城区,北京市,0,116.410662,39.909977
百年前门铜锅涮肉(王府井喜悦7店),"116.410544,39.909836",北京城区地铁8号线王府井站E1口出喜悦购物中心B1层,17301286807;17310077112,餐饮服务;餐饮相关场所;餐饮相关,050000,东单,北京市,东城区,北京市,0,116.410544,39.909836
眉州东坡(新活馆店),"116.413403,39.900026",北京城区东打磨厂街7号新世界女子百货F1-F2层,010-53651112,餐饮服务;中餐厅;四川菜(川菜),050102,,北京市,东城区,北京市,0,116.413403,39.900026
丰泽园饭店(王府井店),"116.410710,39.910204",王府井大街301号王府井商厦5层(王府井图书大厦对面蜜雪冰城隔壁电梯上去),010-65211930,餐饮服务;中餐厅;中餐厅,050100,东单,北京市,东城区,北京市,0,116.41071,39.910204
方砖厂69号炸酱面(崇文门店),"116.413225,39.899797",北京城区东打磨长街7号宝鼎中心A座(新活馆)南门,13261620659,餐饮服务;中餐厅;中餐厅,050100,,北京市,东城区,北京市,0,116.413225,39.899797
大鸭梨烤鸭(王府井臻选店),"116.411003,39.910492",区王府井大街王府商厦四楼,010-65265505,餐饮服务;中餐厅;中餐厅,050100,东单,北京市,东城区,北京市,0,116.411003,39.910492
