name,location,address,tel,type,typecode,business_area,cityname,adname,pname,shopinfo,longitude,latitude
云快充汽车充电站(湖南省特教中等专业学校)(不对外开放),"112.976626,28.024393",天心大道辅路与暮南路交叉口西240米,,汽车服务;充电站;专用充电站,011103,,长沙市,天心区,湖南省,0,112.976626,28.024393
普利司通轮胎(中意二路店),"112.982034,28.015325",中意二路849号,15700733356,汽车服务;汽车配件销售;汽车配件销售,010800,,长沙市,天心区,湖南省,0,112.982034,28.015325
壹佳车饰,"112.982505,28.014663",鑫天·山城明珠西南门西北50米,,汽车服务;汽车养护/装饰;汽车养护,010400,,长沙市,天心区,湖南省,0,112.982505,28.014663
三一挖机专卖,"112.981480,28.011738",南托街道天心大道旁65-1号,,汽车服务;汽车服务相关;汽车服务相关,010000,,长沙市,天心区,湖南省,0,112.98148,28.011738
园意汽车养护中心,"112.983117,28.012586",中意二路895号,0731-85472859,汽车服务;汽车养护/装饰;汽车养护,010400,,长沙市,天心区,湖南省,0,112.983117,28.012586
车多多汽车美容店,"112.980768,28.021182",创业路与诚信路交叉口西220米,,汽车服务;汽车服务相关;汽车服务相关,010000,,长沙市,天心区,湖南省,0,112.980768,28.021182
凡芙美汽车服务中心,"112.980501,28.021094",南托街道北塘社区中意二路733号,18890018268,汽车服务;汽车养护/装饰;汽车养护,010400,,长沙市,天心区,湖南省,1,112.980501,28.021094
小桔充电汽车充电站(长沙市天心区南托街道办充电站),"112.981476,28.021364",南托街道办事处,4000610999,汽车服务;充电站;充电站,011100,,长沙市,天心区,湖南省,0,112.981476,28.021364
诚友堂汽车服务,"112.979646,28.022773",天心大道辅路与暮南路交叉口南180米,15874243998,汽车服务;汽车养护/装饰;汽车养护|汽车服务;洗车场;洗车场|汽车维修;汽车维修;汽车维修,010400|010500|030000,,长沙市,天心区,湖南省,1,112.979646,28.022773
美美汽配暮云仓,"112.980361,28.022345",南托商贸二区5栋40号,,汽车服务;汽车配件销售;汽车配件销售,010800,,长沙市,天心区,湖南省,0,112.980361,28.022345
邓禄普轮胎(南湖大道店),"112.979580,28.023576",中意二路689号,15111218783,汽车服务;汽车配件销售;汽车配件销售,010800,,长沙市,天心区,湖南省,0,112.97958,28.023576
